user_id,followers_count,official,top_user,high_quality
5592704247,31818,0,0,0
1967886847,694398,0,1,0
2145917613,1545535,1,1,1
2611704935,3422449,1,1,0
6868583654,2494720,1,1,1
2373439427,984645,1,1,1
6350851377,3,0,0,0
7750822151,435594,1,0,1
7032298195,8,0,0,0
5816161945,380094,0,1,1
5908167247,5384,0,0,0
1779837945,9299982,1,1,1
1498396803,2346485,0,1,0
7189292433,85,0,0,0
5127238037,41973,0,0,0
1680685707,985568,1,0,0
2994021060,1346,0,0,0
2418724427,8999323,1,1,0
2489610225,2697199,1,1,0
7202439638,2738,1,0,0
1000481815,9695,0,0,1
2656274875,132344312,1,1,1
6433471859,877,0,0,0
1873173673,196,0,0,0
5634013749,190129,1,1,0
1807431510,3410989,1,1,1
5396094153,6799625,1,1,1
6890796357,301340,1,1,1
2504282715,25507,1,0,1
3585793804,4655,1,0,0
6315206710,163221,1,0,0
2259880587,537115,1,1,1
2621516563,197992,1,1,1
7078300779,1,0,0,0
5433898646,158498,1,1,0
2516150701,812895,1,1,0
1838672663,4299183,1,1,1
5479875664,1208,1,0,0
1703371307,17913792,1,1,1
1751714412,3734072,1,1,1
2011075080,15433354,1,1,1
3302689634,241202,1,1,0
1734530730,19856500,1,1,1
1749990115,14906899,1,1,1
5331076683,24,0,0,0
2146627190,70451,1,0,0
5522399953,84904,1,0,0
7349855355,55,0,0,0
5044511176,3424702,1,1,1
3820915614,1295528,1,1,0
1880087643,2056814,1,1,1
5277297601,52,0,0,0
1683472727,6841329,0,1,1
2409482243,10622226,1,1,1
7572790859,636,0,0,0
6555848067,615,0,0,0
2164096520,131978,1,0,1
3658228113,50698,1,0,0
1765891182,1176005,1,1,1
2998934450,715945,1,1,0
5539777260,17105,0,0,1
3464130570,2373,1,0,0
6496100765,460,0,0,0
3274822530,1820987,1,1,1
6452982393,47,0,0,0
3919603060,2420260,1,1,1
1959451603,7283548,1,1,1
1465022157,1383,0,0,0
2039753857,6586737,1,1,1
1936119834,6007562,0,1,1
1762152361,1131978,0,1,1
1936009242,982530,0,1,1
7611088265,80,1,0,0
5590760430,7113,1,0,0
2590508324,1500921,1,1,0
2659630681,2255536,1,1,0
3288875501,6440947,1,1,1
1912416573,1261868,1,1,1
2992050891,7718057,1,1,1
7786940482,682,1,0,0
5217409150,36378,1,0,0
1686546714,27439396,0,1,1
7292067871,397,1,0,0
2280069477,255812,0,0,0
1960660265,25348,0,0,0
1747766363,1372057,0,1,1
7337794444,75387,1,0,0
5562824907,6288,0,0,1
2710498342,556714,1,1,1
1750344480,3525417,1,1,1
2439482773,371336,1,1,1
1667942985,1191282,0,1,1
1368805177,1703699,1,1,1
1847123567,1898923,1,1,1
2294175064,162263,0,1,1
2106115754,4887354,1,1,1
1663072851,64901292,1,1,1
2611712083,180652,1,1,0
3500593277,131960,1,0,0
3904762344,15588,1,0,0
5244164273,13,0,0,0
5586933121,47945,0,0,1
1597004610,86598,1,0,0
7761614436,11425,1,0,0
2812209690,53458,1,0,1
1685715705,5552127,1,1,1
1929676450,823884,1,1,0
1689474774,2823919,1,1,1
1732593537,103351,0,0,0
5905985671,3690,0,0,0
5587382201,52744,1,0,1
5086513816,8032,1,0,0
2025231343,1091658,0,1,1
1784473157,79444766,0,1,1
3661364991,107837,1,0,1
1644358851,3130886,1,1,0
2660564351,346,0,0,0
6892712944,94276,0,0,0
5407796334,1723,1,0,0
1908691000,7880,1,0,0
1740952902,2728529,1,1,1
5044444356,125333,1,0,0
1726834811,4567003,1,1,1
1864528610,224,0,0,0
1436469813,2688169,1,1,1
1664971205,5559360,1,1,1
1629898120,2090000,0,1,1
1975809067,27722,1,0,0
5110126116,140051,1,1,1
7731268962,92096,1,0,1
5098950029,713316,0,0,0
6020937285,7811,1,0,0
2778068424,553132,0,0,0
2630570525,2877558,1,1,0
1912715061,1021213,1,1,1
7844661555,21,0,0,0
2348689331,1974,0,0,0
5892437306,643126,1,1,1
5395667635,1188052,1,1,1
7572918188,3531373,1,1,1
1699540307,28298345,0,1,1
5907970062,1616687,0,1,1
5882344865,603557,0,0,0
2462928437,166674,0,0,1
2046576145,49422,1,0,1
1718493627,12698666,0,1,1
5305560125,35,1,0,0
3941972441,29383,1,0,0
1617416704,197498,0,1,1
3222218860,79396,1,0,1
1774835215,2300504,1,1,1
1827021883,95188,1,0,1
5627354343,110775,0,0,0
1476067807,64778,0,0,0
2417149071,365316,1,1,0
6004281123,25301318,0,1,1
3916940963,204326,0,0,0
2519964024,82281,1,0,0
2056394313,1248554,1,1,0
2092290074,464,0,0,0
2523157067,13484,0,0,0
2233270392,850927,1,1,0
1846970815,179351,0,1,1
1663612603,4538625,1,1,1
1856045061,439,0,0,0
1942357207,339878,1,1,0
6115560351,7854057,1,1,1
5675164557,13696,0,0,0
1307197312,31420,1,0,0
2050280313,2211532,1,1,0
2087875965,2187699,1,1,1
5890679144,2129859,0,1,1
2804827393,1421476,1,1,1
6221932120,1404773,1,1,1
5870138820,2038,1,0,0
2036557845,161973,0,1,1
1807058715,2486886,1,1,1
1253495365,18144,0,0,0
3127352621,1743,0,0,0
1893892941,10789138,1,1,1
1878694367,8303,0,0,1
7532099737,1181,0,0,0
2590506210,255616,0,1,0
2321615032,1578165,1,1,0
3604433637,39962,1,0,0
1824692883,106179,1,0,0
3814243118,5265,1,0,0
1801817195,5831639,1,1,1
1727354567,442,0,0,0
5243583151,498,0,0,0
5119282557,99508,1,0,0
3262946804,199404,1,0,1
1036713140,1972412,1,1,1
6372745792,12,0,0,0
2706533745,32907,1,0,0
3746858447,8313,1,0,0
1999404300,991257,1,1,0
1650111241,25417716,1,1,1
2625440031,9564,0,0,1
3248009852,17867,1,0,0
1784407253,13841,1,0,0
3691105281,211,0,0,0
2291471981,477819,1,1,1
3361952722,31811,1,0,0
3156701342,246,0,0,0
7488465698,30770,1,0,0
1486489760,1284804,0,1,1
3002362141,326494,1,1,0
3229916011,4512720,1,1,1
1682207150,16597840,1,1,1
1943653542,23390,1,0,0
3257466635,269529,1,1,0
3700339772,41594,0,0,0
1789594967,1205417,1,1,1
1979940183,68622,1,0,1
1813124744,848006,1,1,1
3604378011,17833478,0,1,1
5661566460,9570,1,0,0
1707502575,10,0,0,0
1958132051,785677,1,1,1
1920136013,1882005,0,1,1
7496227484,31760,1,0,0
3226789854,25038,1,0,0
3687050977,46917,1,0,0
2590506022,637561,1,1,0
1623340585,3864448,1,1,1
1691507817,849578,0,1,1
5692536573,909994,0,0,1
5553324383,17286,0,0,0
1918149512,1144553,1,1,1
3280484442,19365,1,0,0
2147019872,21366,1,0,0
